#case,Type,Flow,RPM,Angle,Mach_No,mesh_cells,mflow,lv,deltaP,Cd,p0,pT,flowState,Gamma,molarWeight,Cp,Cv,gasConst,A_ref,A_eff
admision_0_2000rpm_HECHA_ok,intake,incompressible,2000,0,-1,172853,0.015152,0.03869,784.62,0.11018,111463.4,110678.78,notChoked,1.3369,28.3697,1090.3343,815.5434,293.071,0.003574,0.000394
admision_0_2000rpm_HECHA_ok,intake,incompressible,2000,120,-1,172853,-0.022681,0.08194,-467.72,0.1005,111931.12,111463.4,notChoked,1.3369,28.3697,1090.3343,815.5434,293.071,0.007568,0.000761
admision_0_7000rpm_HECHA,intake,compressible,7000,0,-1,88236,-0.034261,0.03869,-7687.53,0.09078,108680.93,100993.4,notChoked,1.326,28.3697,1117.7204,842.9295,293.071,0.003574,0.000324
admision_0_7000rpm_HECHA,intake,compressible,7000,120,-1,88236,0.050469,0.08194,2618.62,0.10928,100993.4,98374.78,notChoked,1.326,28.3697,1117.7204,842.9295,293.071,0.007568,0.000827
admision_100_1000rpm_falta,intake,incompressible,1000,100,-1,79959,0.001532,0.08194,40.42,0.02547,103773.09,103732.67,notChoked,1.3286,28.3697,1111.0315,836.2406,293.071,0.007568,0.000193
admision_10_2000rpm_falta,intake,incompressible,2000,10,-1,21817,-0.02239,0.06295,-297.79,0.15775,116518.47,116220.68,notChoked,1.3375,28.3697,1088.9281,814.1372,293.071,0.005814,0.000917
admision_10_2000rpm_falta,intake,incompressible,2000,130,-1,21817,0.016481,0.08194,292.92,0.09006,116220.68,115927.76,notChoked,1.3375,28.3697,1088.9281,814.1372,293.071,0.007568,0.000682
admision_10_7000rpm_HECHA,intake,compressible,7000,10,-1,89666,-0.122092,0.06295,-7374.88,0.18946,125493.68,118118.8,notChoked,1.3246,28.3697,1121.425,846.634,293.071,0.005814,0.001102
admision_10_7000rpm_HECHA,intake,compressible,7000,130,-1,89666,0.070498,0.08194,4953.85,0.10464,118118.8,113164.95,notChoked,1.3246,28.3697,1121.425,846.634,293.071,0.007568,0.000792
admision_50_3000rpm_HECHA,intake,incompressible,3000,170,-1,5082,-0.007914,0.02583,-2338.02,0.05239,110958.13,108620.11,notChoked,1.332,28.3697,1102.5003,827.7094,293.071,0.002386,0.000125
admision_50_3000rpm_HECHA,intake,incompressible,3000,50,-1,5082,0.021988,0.07176,691.01,0.09659,108620.11,107929.1,notChoked,1.332,28.3697,1102.5003,827.7094,293.071,0.006628,0.00064
admision_50_7000rpm_HECHA,intake,compressible,7000,50,-1,89666,0.031125,0.07176,1753.1,0.07855,142137.04,140383.94,notChoked,1.3262,28.3697,1117.2202,842.4293,293.071,0.006628,0.000521
admision_50_7000rpm_HECHA,intake,compressible,7000,170,-1,89666,-0.166843,0.02583,-18148.19,0.36396,160285.23,142137.04,notChoked,1.3262,28.3697,1117.2202,842.4293,293.071,0.002386,0.000868
admision_50_9000rpm_HECHA,intake,incompressible,9000,170,-1,5082,-0.010364,0.02583,-3689.81,0.056,114728.21,111038.4,notChoked,1.3272,28.3697,1114.724,839.933,293.071,0.002386,0.000134
admision_50_9000rpm_HECHA,intake,incompressible,9000,50,-1,5082,0.051483,0.07176,4092.13,0.09692,111038.4,106946.27,notChoked,1.3272,28.3697,1114.724,839.933,293.071,0.006628,0.000642
admision_55_3000rpm_HECHA,intake,incompressible,3000,180,-1,31744,-0.007647,0.00556,-12539.15,0.10328,117162.38,104623.23,notChoked,1.333,28.3697,1100.1122,825.3213,293.071,0.000514,5.3e-05
admision_55_3000rpm_HECHA,intake,incompressible,3000,55,-1,31744,-0.027893,0.06977,-789.0,0.11895,105412.23,104623.23,notChoked,1.333,28.3697,1100.1122,825.3213,293.071,0.006444,0.000767
admision_55_5000rpm_HECHA,intake,incompressible,5000,180,-1,31744,-0.007219,0.00556,-10091.84,0.11283,119156.59,109064.75,notChoked,1.3248,28.3697,1120.9438,846.1528,293.071,0.000514,5.8e-05
admision_55_5000rpm_HECHA,intake,incompressible,5000,55,-1,31744,0.0791,0.06977,7869.92,0.1158,109064.75,101194.83,notChoked,1.3248,28.3697,1120.9438,846.1528,293.071,0.006444,0.000746
admision_55_6000rpm_HECHA,intake,incompressible,6000,180,-1,31744,-0.009765,0.00556,-24909.11,0.10584,117810.75,92901.64,notChoked,1.3255,28.3697,1119.0079,844.2169,293.071,0.000514,5.4e-05
admision_55_6000rpm_HECHA,intake,incompressible,6000,55,-1,31744,-0.063523,0.06977,-4752.94,0.12402,97654.58,92901.64,notChoked,1.3255,28.3697,1119.0079,844.2169,293.071,0.006444,0.000799
admision_55_7000rpm_HECHA,intake,incompressible,7000,180,-1,31744,-0.017034,0.00556,-53805.44,0.11203,171195.9,117390.46,notChoked,1.3266,28.3697,1116.034,841.243,293.071,0.000514,5.8e-05
admision_55_7000rpm_HECHA,intake,incompressible,7000,55,-1,31744,-0.094378,0.06977,-7592.74,0.12874,124983.2,117390.46,notChoked,1.3266,28.3697,1116.034,841.243,293.071,0.006444,0.00083
admision_590_1000rpm_HECHA,intake,compressible,1000,110,-1,86800,-0.012221,0.08194,-87.24,0.16013,100867.47,100780.23,notChoked,1.3089,28.3697,1164.4909,889.6999,293.071,0.007568,0.001212
admision_590_1000rpm_HECHA,intake,compressible,1000,590,-1,86800,-0.004635,0.01443,-6574.97,0.0399,107355.2,100780.23,notChoked,1.3089,28.3697,1164.4909,889.6999,293.071,0.001333,5.3e-05
admision_590_2000rpm_HECHA,intake,compressible,2000,110,-1,86800,-0.032965,0.08194,-573.65,0.14267,109380.07,108806.42,notChoked,1.3281,28.3697,1112.3797,837.5888,293.071,0.007568,0.00108
admision_590_2000rpm_HECHA,intake,compressible,2000,590,-1,86800,0.010426,0.01443,21856.29,0.04714,108806.42,86950.13,notChoked,1.3281,28.3697,1112.3797,837.5888,293.071,0.001333,6.3e-05
admision_590_3000rpm_HECHA,intake,compressible,3000,110,-1,86800,0.017751,0.08194,519.6,0.09411,98555.35,98035.75,notChoked,1.3131,28.3697,1152.3672,877.5762,293.071,0.007568,0.000712
admision_590_3000rpm_HECHA,intake,compressible,3000,590,-1,86800,-0.008706,0.01443,-19738.67,0.04297,118294.02,98555.35,notChoked,1.3131,28.3697,1152.3672,877.5762,293.071,0.001333,5.7e-05
admision_590_7000rpm_HECHA,intake,compressible,7000,110,-1,86800,0.037167,0.08194,1571.95,0.11346,88749.38,87177.43,notChoked,1.3219,28.3697,1128.407,853.616,293.071,0.007568,0.000859
admision_590_7000rpm_HECHA,intake,compressible,7000,590,-1,86800,0.008596,0.01443,18077.97,0.04954,88749.38,70671.41,notChoked,1.3219,28.3697,1128.407,853.616,293.071,0.001333,6.6e-05
admision_590_8000rpm_falta,intake,incompressible,8000,110,-1,167900,-0.000318,0.08194,0.98,0.04009,90607.36,90606.38,notChoked,1.3141,28.3697,1149.735,874.944,293.071,0.007568,0.000303
admision_590_8000rpm_falta,intake,incompressible,8000,590,-1,167900,0.003483,0.01443,2668.61,0.04864,90607.36,87938.75,notChoked,1.3141,28.3697,1149.735,874.944,293.071,0.001333,6.5e-05
admision_60_3000rpm_HECHA,intake,compressible,3000,60,-1,86800,0.002783,0.07637,561.74,0.01287,103249.21,102687.47,notChoked,1.3339,28.3697,1097.7226,822.9317,293.071,0.007054,9.1e-05
admision_60_3000rpm_HECHA,intake,compressible,3000,180,-1,86800,-0.132835,0.00556,-13913.17,1.70342,117162.38,103249.21,notChoked,1.3339,28.3697,1097.7226,822.9317,293.071,0.000514,0.000875
admision_60_5000rpm_HECHA,intake,compressible,5000,180,-1,86800,-0.128819,0.00556,-13626.25,1.74842,119156.59,105530.34,notChoked,1.3261,28.3697,1117.4024,842.6115,293.071,0.000514,0.000899
admision_60_5000rpm_HECHA,intake,compressible,5000,60,-1,86800,0.008095,0.07637,11301.93,0.0093,105530.34,94228.41,notChoked,1.3261,28.3697,1117.4024,842.6115,293.071,0.007054,6.6e-05
admision_60_6000rpm_HECHA,intake,compressible,6000,60,-1,86800,0.003839,0.07637,-1319.37,0.01311,90695.52,89376.15,notChoked,1.3267,28.3697,1115.9603,841.1694,293.071,0.007054,9.2e-05
admision_60_6000rpm_HECHA,intake,compressible,6000,180,-1,86800,-0.158043,0.00556,-28434.6,1.6254,117810.75,89376.15,notChoked,1.3267,28.3697,1115.9603,841.1694,293.071,0.000514,0.000835
admision_60_7000rpm_HECHA,intake,compressible,7000,180,-1,86800,-0.226321,0.00556,-62765.64,1.42959,171195.9,108430.26,notChoked,1.3279,28.3697,1112.7245,837.9336,293.071,0.000514,0.000735
admision_60_7000rpm_HECHA,intake,compressible,7000,60,-1,86800,0.006986,0.07637,1297.66,0.02177,108430.26,107132.6,notChoked,1.3279,28.3697,1112.7245,837.9336,293.071,0.007054,0.000154
escape_405_1000rpm_HECHA,exhaust,compressible,1000,405,-1,96418,-0.01577,0.01683,-100331.39,0.03449,241666.51,141335.12,notChoked,1.2648,28.3697,1312.7047,1037.9138,293.071,0.001554,5.4e-05
escape_405_1000rpm_HECHA,exhaust,compressible,1000,525,-1,96418,0.056414,0.10677,5723.72,0.07891,141335.12,135611.4,notChoked,1.2648,28.3697,1312.7047,1037.9138,293.071,0.009862,0.000778
escape_405_2000rpm_HECHA,exhaust,compressible,2000,405,-1,96418,-0.022197,0.01683,-263797.72,0.03042,435309.71,171511.99,Choked,1.2672,28.3697,1303.1058,1028.3149,293.071,0.001554,4.7e-05
escape_405_2000rpm_HECHA,exhaust,compressible,2000,525,-1,96418,-0.069927,0.10677,-3296.18,0.12951,174808.17,171511.99,notChoked,1.2672,28.3697,1303.1058,1028.3149,293.071,0.009862,0.001277
escape_405_7000rpm_HECHA,exhaust,compressible,7000,405,-1,0,-0.038615,0.01683,-652902.78,0.03066,788207.87,135305.09,Choked,1.2995,28.3697,1192.2072,917.4163,293.071,0.001554,4.8e-05
escape_405_7000rpm_HECHA,exhaust,compressible,7000,525,-1,0,-0.101429,0.10677,-9613.29,0.13154,144918.38,135305.09,notChoked,1.2995,28.3697,1192.2072,917.4163,293.071,0.009862,0.001297
escape_405_9000rpm_HECHA,exhaust,compressible,9000,405,-1,0,-0.031334,0.01683,-513568.73,0.03114,629418.76,115850.03,Choked,1.2989,28.3697,1194.176,919.3851,293.071,0.001554,4.8e-05
escape_405_9000rpm_HECHA,exhaust,compressible,9000,525,-1,0,-0.054464,0.10677,-3232.97,0.13112,119083.0,115850.03,notChoked,1.2989,28.3697,1194.176,919.3851,293.071,0.009862,0.001293
escape_410_2000rpm_HECHA,exhaust,compressible,2000,410,-1,0,-0.047624,0.02696,-116996.12,0.0605,281790.91,164794.79,notChoked,1.2607,28.3697,1328.8233,1054.0324,293.071,0.00249,0.000151
escape_410_2000rpm_HECHA,exhaust,compressible,2000,530,-1,0,-0.074485,0.09664,-3643.9,0.14164,168438.69,164794.79,notChoked,1.2607,28.3697,1328.8233,1054.0324,293.071,0.008926,0.001264
escape_410_4000rpm_HECHA,exhaust,compressible,4000,410,-1,0,-0.05395,0.02696,-237724.11,0.05137,385266.03,147541.92,Choked,1.2637,28.3697,1316.8436,1042.0527,293.071,0.00249,0.000128
escape_410_4000rpm_HECHA,exhaust,compressible,4000,530,-1,0,-0.09172,0.09664,-6684.11,0.1402,154226.03,147541.92,notChoked,1.2637,28.3697,1316.8436,1042.0527,293.071,0.008926,0.001251
escape_410_7000rpm_HECHA,exhaust,compressible,7000,410,-1,0,-0.08511,0.02696,-496509.46,0.05107,645247.27,148737.81,Choked,1.2893,28.3697,1224.4901,949.6992,293.071,0.00249,0.000127
escape_410_7000rpm_HECHA,exhaust,compressible,7000,530,-1,0,-0.145669,0.09664,-18256.2,0.14344,166994.01,148737.81,notChoked,1.2893,28.3697,1224.4901,949.6992,293.071,0.008926,0.00128
escape_410_8000rpm_HECHA,exhaust,compressible,8000,410,-1,229733,-0.06586,0.02696,-237724.11,0.06271,385266.03,147541.92,Choked,1.2637,28.3697,1316.8436,1042.0527,293.071,0.00249,0.000156
escape_410_8000rpm_HECHA,exhaust,compressible,8000,530,-1,229733,-0.090999,0.09664,-6684.11,0.13909,154226.03,147541.92,notChoked,1.2637,28.3697,1316.8436,1042.0527,293.071,0.008926,0.001242
escape_420_4000rpm_HECHO,exhaust,compressible,4000,420,-1,229748,-0.079669,0.04723,-49343.47,0.08737,200104.82,150761.35,notChoked,1.2607,28.3697,1328.7355,1053.9445,293.071,0.004362,0.000381
escape_420_4000rpm_HECHO,exhaust,compressible,4000,540,-1,229748,-0.076146,0.07637,-5712.86,0.14803,156474.21,150761.35,notChoked,1.2607,28.3697,1328.7355,1053.9445,293.071,0.007054,0.001044
escape_420_7000rpm_HECHA,exhaust,compressible,7000,420,-1,0,-0.197788,0.04723,-248260.03,0.10508,401514.71,153254.68,Choked,1.2684,28.3697,1298.7388,1023.9479,293.071,0.004362,0.000458
escape_420_7000rpm_HECHA,exhaust,compressible,7000,540,-1,0,-0.17681,0.07637,-27814.35,0.16975,181069.03,153254.68,notChoked,1.2684,28.3697,1298.7388,1023.9479,293.071,0.007054,0.001197
escape_420_8000rpm_HECHA,exhaust,compressible,8000,420,-1,0,-0.117416,0.04723,-109348.67,0.07855,341545.46,232196.79,notChoked,1.2818,28.3697,1250.0886,975.2977,293.071,0.004362,0.000343
escape_420_8000rpm_HECHA,exhaust,compressible,8000,540,-1,0,-0.14511,0.07637,-17090.38,0.1474,249287.17,232196.79,notChoked,1.2818,28.3697,1250.0886,975.2977,293.071,0.007054,0.00104
escape_430_2000rpm_HECHA,exhaust,compressible,2000,430,-1,64724,0.002493,0.0675,13.83,0.11238,123649.84,123636.01,notChoked,1.2705,28.3697,1290.6988,1015.9079,293.071,0.006234,0.000701
escape_430_2000rpm_HECHA,exhaust,compressible,2000,550,-1,64724,-0.008381,0.07176,-134.24,0.11404,123784.08,123649.84,notChoked,1.2705,28.3697,1290.6988,1015.9079,293.071,0.006628,0.000756
escape_430_7000rpm_HECHA,exhaust,compressible,7000,430,-1,0,-0.196853,0.0675,-100073.52,0.11788,235147.08,135073.56,notChoked,1.2603,28.3697,1330.4389,1055.648,293.071,0.006234,0.000735
escape_430_7000rpm_HECHA,exhaust,compressible,7000,550,-1,0,-0.106089,0.07176,-24077.34,0.11673,159150.9,135073.56,notChoked,1.2603,28.3697,1330.4389,1055.648,293.071,0.006628,0.000774
escape_440_7000rpm_HECHA,exhaust,compressible,7000,440,-1,53034,-0.047206,0.08776,-33418.12,0.03801,139910.5,106492.38,notChoked,1.266,28.3697,1307.8953,1033.1043,293.071,0.008106,0.000308
escape_440_7000rpm_HECHA,exhaust,compressible,7000,560,-1,53034,-0.098823,0.07575,-11793.31,0.1526,118285.69,106492.38,notChoked,1.266,28.3697,1307.8953,1033.1043,293.071,0.006996,0.001068
escape_440_9000rpm_HECHA,exhaust,compressible,9000,440,-1,53034,-0.028227,0.08776,-10715.7,0.03574,160068.95,149353.25,notChoked,1.2603,28.3697,1330.4559,1055.665,293.071,0.008106,0.00029
escape_440_9000rpm_HECHA,exhaust,compressible,9000,560,-1,53034,-0.068724,0.07575,-5167.81,0.14466,154521.06,149353.25,notChoked,1.2603,28.3697,1330.4559,1055.665,293.071,0.006996,0.001012
