RPM  RendVol FracRes PotInd TorqInd
1000 0.6494 0.09     19.18  136.55
1500 0.6514 0.0873   30.13  143.04
2000 0.6381 0.0783   40.73  145.00
2500 0.8299 0.0608   75.69  215.58
3000 0.702  0.0804   71.18  168.96
3500 0.752  0.0784   83.97  170.83
4000 0.7816 0.084    95.86  170.65
4500 0.7184 0.0577   108.03 170.95
5000 0.7478 0.0543   124.63 177.50
5500 0.7167 0.0576   135.52 175.46
6000 0.7784 0.0586   155.15 184.13
6500 0.6465 0.0754   168.22 184.29
7000 0.7066 0.0678   189.30 192.57
7500 0.7888 0.0491   221.45 210.25
8000 0.7261 0.0516   204.26 181.82
8500 0.7318 0.0581   217.96 182.60
9000 0.7199 0.0604   228.82 181.05
