RPM   RendVol FracRes PotInd  TorqInd PotNet  TorqNet
1000  0.7438  0.0771  24.4    173.75  21.99   156.61
1500  0.7228  0.0772  37.54   178.2   33.6    159.53
2000  0.7553  0.0903  52.51   186.94  46.72   166.34
2500  0.7141  0.0893  64.38   183.37  56.65   161.37
3000  0.7529  0.0787  77.78   184.62  67.78   160.88
3500  0.7039  0.0791  92.32   187.83  79.76   162.28
4000  0.8447  0.0642  115.36  205.37  99.56   177.25
4500  0.8039  0.0679  117.69  186.23  99.17   156.92
5000  0.7437  0.0776  126.38  179.98  104.7   149.12
5500  0.6976  0.093   134.62  174.29  109.34  141.57
6000  0.725   0.1026  142.21  168.78  113.06  134.18
6500  0.7361  0.1147  150.63  165.01  117.18  128.38
7000  0.6714  0.1427  150.64  153.24  113.1   115.05
7500  0.694   0.1487  149.8   142.23  107.74  102.29
8000  0.6722  0.1764  149.7   133.25  102.75  91.46
8500  0.6322  0.1943  148.58  124.47  96.52   80.86
9000  0.628   0.2071  151.41  119.8   93.7    74.14
