Angle Volume
0.10 55566.00
2.35 55566.00
4.58 55566.00
6.80 55566.00
9.02 55566.00
11.23 55566.00
13.43 55566.00
15.60 55566.00
17.77 55566.00
19.95 55566.00
22.13 55566.00
24.31 55814.70
26.49 56658.30
28.68 58093.50
30.87 60108.40
33.09 62725.00
35.32 65926.70
37.52 69647.50
39.72 73874.90
41.91 78598.40
44.09 83801.80
46.28 89473.40
48.46 95602.50
50.65 102172.00
52.85 109218.00
55.09 116762.00
57.31 124677.00
59.51 132860.00
61.68 141264.00
63.82 149843.00
65.94 158602.00
68.05 167608.00
70.16 176842.00
72.29 186335.00
74.44 196121.00
76.61 206184.00
78.79 216483.00
80.99 226972.00
83.21 237637.00
85.42 248360.00
87.63 259141.00
89.85 269961.00
92.08 280848.00
94.31 291718.00
96.52 302461.00
98.71 313042.00
100.88 323660.00
103.02 334294.00
105.14 344897.00
107.25 355504.00
109.37 366095.00
111.49 376641.00
113.62 387135.00
115.77 397561.00
117.95 407863.00
120.14 417967.00
122.34 427803.00
124.56 437311.00
126.78 446378.00
129.00 454912.00
131.21 462883.00
133.42 470264.00
135.65 477015.00
137.88 483074.00
140.11 488380.00
142.34 492857.00
144.55 496300.00
146.74 498567.00
148.91 499693.00
151.08 499694.00
153.26 498572.00
155.43 496318.00
157.62 492922.00
159.82 488518.00
162.04 483288.00
164.27 477258.00
166.49 470545.00
168.68 463260.00
170.87 455427.00
173.04 447075.00
175.22 438224.00
177.42 428872.00
179.63 419034.00
181.86 408784.00
184.05 398426.00
186.19 388061.00
188.31 377646.00
190.41 367174.00
192.52 356659.00
194.61 346130.00
196.72 335582.00
198.85 325029.00
201.00 314464.00
203.18 303907.00
205.37 293273.00
207.58 282526.00
209.78 271762.00
211.98 261017.00
214.18 250294.00
216.39 239570.00
218.61 228848.00
220.83 218248.00
223.04 207859.00
225.20 197811.00
227.33 188072.00
229.44 178597.00
231.55 169360.00
233.65 160365.00
235.75 151606.00
237.86 143077.00
239.99 134775.00
242.14 126697.00
244.32 118846.00
246.51 111312.00
248.73 104124.00
250.94 97366.80
253.13 91093.10
255.30 85322.10
257.47 80036.90
259.61 75258.30
261.78 70940.50
263.97 67066.20
266.21 63676.90
268.43 60872.20
270.63 58670.00
272.81 57056.30
274.98 56026.60
277.13 55584.60
279.29 55566.00
281.42 55566.00
283.56 55566.00
285.73 55566.00
287.94 55566.00
290.15 55566.00
292.35 55566.00
294.54 55566.00
296.72 55566.00
298.89 55566.00
301.07 55566.00
303.28 55566.00
305.50 55566.00
307.69 55566.00
309.84 55566.00
311.97 55566.00
314.07 55566.00
316.17 55566.00
318.27 55566.00
320.36 55566.00
322.46 55567.30
324.61 55895.60
326.78 56813.40
328.96 58318.40
331.16 60421.10
333.37 63098.70
335.57 66324.30
337.76 70085.60
339.96 74367.70
342.17 79185.00
344.39 84544.30
346.60 90347.70
348.77 96507.10
350.92 103000.00
353.04 109812.00
355.14 116947.00
357.24 124413.00
359.34 132200.00
361.44 140292.00
363.55 148723.00
365.68 157546.00
367.85 166762.00
370.05 176322.00
372.27 186239.00
374.47 196289.00
376.65 206385.00
378.80 216518.00
380.94 226723.00
383.09 237073.00
385.26 247575.00
387.45 258245.00
389.67 269085.00
391.91 280036.00
394.13 290855.00
396.33 301527.00
398.50 312038.00
400.65 322553.00
402.79 333144.00
404.93 343829.00
407.08 354617.00
409.25 365508.00
411.45 376458.00
413.67 387368.00
415.89 398122.00
418.09 408548.00
420.28 418610.00
422.46 428343.00
424.68 437797.00
426.91 446893.00
429.14 455438.00
431.33 463310.00
433.49 470480.00
435.63 476959.00
437.75 482737.00
439.85 487790.00
441.94 492117.00
444.05 495625.00
446.19 498102.00
448.34 499507.00
450.52 499802.00
452.72 498954.00
454.93 496938.00
457.15 493747.00
459.36 489515.00
461.56 484487.00
463.77 478673.00
466.00 472081.00
468.23 464814.00
470.44 456996.00
472.62 448730.00
474.78 440075.00
476.91 431065.00
479.03 421742.00
481.13 412147.00
483.24 402289.00
485.35 392149.00
487.48 381730.00
489.64 371052.00
491.82 360156.00
494.02 349115.00
496.24 337984.00
498.46 326953.00
500.65 316151.00
502.83 305594.00
505.00 295081.00
507.18 284496.00
509.36 273828.00
511.56 263086.00
513.77 252268.00
516.01 241388.00
518.24 230627.00
520.45 220065.00
522.64 209709.00
524.82 199564.00
526.99 189618.00
529.16 179848.00
531.34 170257.00
533.53 160847.00
535.74 151643.00
537.95 142723.00
540.16 134102.00
542.38 125799.00
544.60 117837.00
546.83 110250.00
549.06 103084.00
551.27 96377.40
553.47 90146.00
555.66 84415.50
557.83 79204.80
559.97 74505.80
562.11 70308.30
564.26 66605.20
566.40 63406.20
568.56 60727.90
570.72 58585.80
572.90 56997.50
575.10 55986.40
577.30 55575.20
579.50 55566.00
581.71 55566.00
583.93 55566.00
586.15 55566.00
588.37 55566.00
590.59 55566.00
592.80 55566.00
594.99 55566.00
597.17 55566.00
599.34 55566.00
