lv_esc   dp_esc      cd_esc   lv_adm   dp_adm     cd_adm
0.08776  -10715.7    0.57686  0.06295  -7374.88   0.5952
0.07575  -5167.81    0.55106  0.08194  -87.24     0.50306
0.07575  -11793.31   0.48497  0.08194  -573.65    0.44822
0.07637  -5712.86    0.46505  0.08194  1571.95    0.35645
0.07637  -17090.38   0.46308  0.03869  784.62     0.34614
0.09664  -18256.2    0.45062  0.08194  2618.62    0.34332
0.08776  -33418.12   0.44552  0.08194  4953.85    0.32874
0.09664  -3643.9     0.44496  0.08194  -467.72    0.31572
0.09664  -6684.11    0.43957  0.07176  4092.13    0.30448
0.1236   -208.07     0.43741  0.08194  519.6      0.29566
0.09664  -6684.11    0.43698  0.03869  -7687.53   0.28521
0.1236   -73.94      0.43572  0.07176  1753.1     0.27575
0.1236   -3270.57    0.41425  0.07176  691.01     0.27394
0.10677  -9613.29    0.41325  0.08194  40.42      0.25877
0.10677  -3232.97    0.41192  0.02583  -3689.81   0.17593
0.10677  -3296.18    0.40892  0.02583  -2338.02   0.16662
0.07176  -134.24     0.35827  0.01443  18077.97   0.15563
0.0675   13.83       0.35305  0.02583  -18148.19  0.14922
0.04723  -49343.47   0.27448  0.01443  21856.29   0.14808
0.04723  -109348.67  0.24676  0.01443  -19738.67  0.13499
0.10677  5723.72     0.2248   0.01443  -6574.97   0.12536
0.1236   18.07       0.20251
0.02696  -237724.11  0.197
0.02696  -116996.12  0.19007
0.02696  -237724.11  0.16158
0.02696  -496509.46  0.16044
0.01683  -263797.72  0.12654
0.01683  -100331.39  0.11239
0.01683  -513568.73  0.09782
0.01683  -652902.78  0.09631
