RPM   rv34   rv54   rv94   rv104  pot_eff34  pot_eff54  pot_eff94  pot_eff104  torq_eff34  torq_eff54  torq_eff94  torq_eff104  xr3-4  xr5-4  xr9-4  xr10-4
1000  0.734  0.728  0.706  0.669  23.262     23.47      22.241     21.023      163.336     164.793     156.164     147.614      0.075  0.078  0.096  0.089
1500  0.71   0.732  0.682  0.684  33.858     35.249     32.211     34.536      158.491     165.004     150.78      161.663      0.076  0.07   0.083  0.105
2000  0.698  0.744  0.683  0.712  48.627     48.267     44.595     46.971      170.719     169.456     156.563     164.904      0.08   0.078  0.085  0.088
2500  0.794  0.745  0.74   0.702  64.069     58.7       51.895     57.358      179.945     164.865     145.752     161.096      0.073  0.074  0.088  0.084
3000  0.719  0.735  0.694  0.701  72.591     70.023     55.404     66.4        169.9       163.89      129.675     155.41       0.091  0.071  0.144  0.085
3500  0.722  0.733  0.621  0.684  83.376     77.537     54.97      76.84       167.266     155.551     110.278     154.152      0.084  0.068  0.2    0.093
4000  0.741  0.727  0.512  0.78   95.526     84.36      43.846     94.684      167.684     148.084     76.966      166.208      0.082  0.064  0.23   0.121
4500  0.719  0.742  0.567  0.655  102.677    88.872     47.661     88.164      160.212     138.671     74.367      137.566      0.094  0.075  0.239  0.164
5000  0.752  0.714  0.372  0.62   113.264    90.153     33.983     89.509      159.057     126.603     47.723      125.698      0.11   0.094  0.275  0.18
5500  0.694  0.733  0.553  0.624  112.068    93.624     41.169     88.605      143.071     119.524     52.558      113.117      0.139  0.112  0.279  0.203
6000  0.662  0.698  0.324  0.57   111.814    92.896     19.462     86.374      130.851     108.712     22.775      101.08       0.16   0.137  0.424  0.231
6500  0.628  0.659  0.407  0.599  110.988    91.571     17.163     87.895      119.894     98.919      18.54       94.947       0.181  0.155  0.315  0.254
7000  0.614  0.625  0.315  0.743  111.162    89.356     30.903     102.427     111.504     89.631      30.998      102.742      0.201  0.174  0.411  0.175
7500  0.624  0.608  0.18   0.119  107.022    85.361     -0.063     12.711      100.195     79.916      -0.059      11.9         0.176  0.193  0.53   0.679
8000  0.443  0.62   0.11   0.635  84.876     87.176     -14.271    105.15      74.495      76.514      -12.525     92.289       0.283  0.16   0.68   0.184
8500  0.535  0.429  0.107  0.396  96.171     50.882     -17.849    59.537      79.444      42.032      -14.745     49.181       0.231  0.276  0.677  0.337
9000  0.432  0.506  0.259  0.252  79.121     72.599     6.418      17.818      61.728      56.64       5.007       13.901       0.319  0.231  0.457  0.493
