RPM   RendVol  FracRes  PotInd   TorqInd  Potnet   TorqNet  sfcI   sfcN   IMEP      FMEP    BMEP      PotFric
1000  0.734    0.075    24.69    173.364  23.262   163.336  0.124  0.132  982.387   56.732  925.656   1.428
1500  0.71     0.076    36.042   168.715  33.858   158.491  0.122  0.13   972.869   57.841  915.028   2.184
2000  0.698    0.08     51.595   181.139  48.627   170.719  0.116  0.123  982.743   58.951  923.792   2.968
2500  0.794    0.073    67.81    190.451  64.069   179.945  0.118  0.125  1115.781  59.434  1056.348  3.741
3000  0.719    0.091    77.116   180.491  72.591   169.9    0.118  0.125  1011.5    59.917  951.583   4.52500000000001
3500  0.722    0.084    88.768   178.083  83.376   167.266  0.119  0.127  1011.091  61.195  949.896   5.392
4000  0.741    0.082    101.817  178.728  95.526   167.684  0.121  0.129  1019.301  62.474  956.827   6.291
4500  0.719    0.094    109.886  171.459  102.677  160.212  0.124  0.133  966.077   63.628  902.449   7.20899999999999
5000  0.752    0.11     121.418  170.509  113.264  159.057  0.13   0.139  968.961   64.783  904.178   8.15400000000001
5500  0.694    0.139    121.445  155.042  112.068  143.071  0.132  0.143  873.935   67.722  806.214   9.377
6000  0.662    0.16     122.488  143.342  111.814  130.851  0.136  0.149  810.736   70.66   740.076   10.674
6500  0.628    0.181    122.009  131.799  110.988  119.894  0.141  0.155  745.816   67.348  678.468   11.021
7000  0.614    0.201    122.447  122.823  111.162  111.504  0.146  0.161  702.161   64.036  638.125   11.285
7500  0.624    0.176    119.862  112.216  107.022  100.195  0.166  0.186  690.31    68.004  622.306   12.84
8000  0.469    0.25     117.4    103.041  102.905  90.319   0.158  0.181  495.145   71.972  423.173   14.495
8500  0.535    0.231    111.642  92.223   96.171   79.444   0.146  0.169  554.082   72.296  481.786   15.471
9000  0.432    0.319    95.575   74.565   79.121   61.728   0.182  0.22   408.339   72.621  335.718   16.454
